date,used_beds_total,free_beds,emergency_beds,used_beds_corona
2020-03-20,576,2866,0,200
2020-03-21,2828,3554,0,308
2020-03-22,3255,3712,0,364
2020-03-23,3778,4050,0,451
2020-03-24,4856,4712,0,616
2020-03-25,5471,5081,0,789
2020-03-26,5960,5159,0,824
2020-03-27,6274,5389,0,905
2020-03-28,6738,5411,0,1001
2020-03-29,6724,5496,0,1063
2020-03-30,7069,5626,0,1203
2020-03-31,8392,6227,0,1550
2020-04-01,9345,7094,0,1784
2020-04-02,10662,8017,0,2102
2020-04-03,11719,8429,0,2361
2020-04-04,11915,8689,0,2471
2020-04-05,11942,8805,0,2528
2020-04-06,11996,8809,0,2551
2020-04-07,11938,8806,0,2641
2020-04-08,12526,8967,0,2654
2020-04-09,13129,9007,0,2714
2020-04-10,12881,8990,0,2702
2020-04-11,12462,9023,0,2652
2020-04-12,12541,9168,0,2652
2020-04-13,12831,9216,0,2719
2020-04-14,13123,9443,0,2722
2020-04-15,14119,9919,0,2735
2020-04-16,15673,11208,0,2810
2020-04-17,16861,11455,0,2879
2020-04-18,17337,11605,0,2928
2020-04-19,16956,12031,0,2870
2020-04-20,17270,11992,0,2900
2020-04-21,18189,11870,0,2855
2020-04-22,18566,11900,0,2739
2020-04-23,18726,11942,0,2720
2020-04-24,18904,12010,0,2644
2020-04-25,18763,12018,0,2538
2020-04-26,18279,12421,0,2524
2020-04-27,18461,12260,0,2466
2020-04-28,18973,11932,0,2391
2020-04-29,19204,11887,0,2310
2020-04-30,19155,11925,0,2235
2020-05-01,19218,12000,0,2118
2020-05-02,18579,12596,0,2046
2020-05-03,18706,12459,0,2011
2020-05-04,18619,12397,0,1976
2020-05-05,19195,11813,0,1903
2020-05-06,19560,11543,0,1820
2020-05-07,19536,11507,0,1763
2020-05-08,19484,11369,0,1659
2020-05-09,19287,11579,0,1594
2020-05-10,18734,11995,0,1603
2020-05-11,18891,11840,0,1587
2020-05-12,19791,11610,0,1496
2020-05-13,19730,11281,0,1384
2020-05-14,19663,11439,0,1316
2020-05-15,19991,11119,0,1232
2020-05-16,19629,11315,0,1173
2020-05-17,19112,11886,0,1125
2020-05-18,19070,11842,0,1122
2020-05-19,19647,11101,0,1087
