date,used_beds,free_beds,emergency_beds
2020-03-20,598,2921,0
2020-03-21,2871,3627,0
2020-03-22,3300,3783,0
2020-03-23,3832,4121,0
2020-03-24,4942,4797,0
2020-03-25,5596,5173,0
2020-03-26,6090,5239,0
2020-03-27,6426,5479,0
2020-03-28,6895,5497,0
2020-03-29,6874,5589,0
2020-03-30,7225,5719,0
2020-03-31,8550,6337,0
2020-04-01,9470,7214,0
2020-04-02,10807,8127,0
2020-04-03,11899,8566,0
2020-04-04,12110,8825,0
2020-04-05,12143,8936,0
2020-04-06,12181,8950,0
2020-04-07,12103,8940,0
2020-04-08,12784,9108,0
2020-04-09,13365,9143,0
2020-04-10,13115,9124,0
2020-04-11,12703,9143,0
2020-04-12,12778,9287,0
2020-04-13,13066,9325,0
2020-04-14,13355,9566,0
2020-04-15,14322,10059,0
2020-04-16,15907,11382,0
2020-04-17,17119,11637,0
2020-04-18,17594,11808,0
2020-04-19,17211,12235,0
2020-04-20,17525,12208,0
2020-04-21,18464,12078,0
2020-04-22,18860,12101,0
2020-04-23,19057,12176,0
2020-04-24,19262,12271,0
2020-04-25,19125,12291,0
2020-04-26,18642,12695,0
2020-04-27,18828,12538,0
2020-04-28,19370,12208,0
2020-04-29,19638,12145,0
2020-04-30,19595,12195,0
2020-05-01,19667,12296,0
2020-05-02,19032,12912,0
2020-05-03,19155,12775,0
2020-05-04,19078,12718,0
2020-05-05,19695,12142,0
2020-05-06,20093,11844,0
2020-05-07,20064,11807,0
2020-05-08,20035,11655,0
2020-05-09,19814,11884,0
2020-05-10,19256,12303,0
2020-05-11,19416,12125,0
2020-05-12,20301,11923,0
2020-05-13,20235,11576,0
2020-05-14,20145,11747,0
2020-05-15,20482,11420,0
2020-05-16,20122,11610,0
2020-05-17,19589,12176,0
2020-05-18,19558,12139,0
2020-05-19,20154,11389,0
2020-05-20,20412,11321,0
2020-05-21,20408,11354,0
2020-05-22,19851,11906,0
2020-05-23,20042,11895,0
2020-05-24,19553,12242,0
2020-05-25,19639,12291,0
2020-05-26,20190,11640,0
2020-05-27,20480,11270,0
2020-05-28,20563,11144,0
2020-05-29,20492,11153,0
2020-05-30,20379,11284,0
2020-05-31,19715,11876,0
2020-06-01,19643,11957,0
2020-06-02,19720,11855,0
2020-06-03,20442,11187,0
2020-06-04,20757,10840,0
2020-06-05,20822,10748,0
2020-06-06,20562,10994,0
2020-06-07,19972,11553,0
2020-06-08,19834,11692,0
2020-06-09,20683,10943,0
2020-06-10,20848,10821,0
2020-06-11,20778,10865,0
2020-06-12,20285,11300,0
2020-06-13,20229,11283,0
2020-06-14,19832,11652,0
2020-06-15,19899,11691,0
2020-06-16,20614,11014,0
2020-06-17,20928,10717,0
2020-06-18,21063,10683,0
2020-06-19,21152,10580,0
2020-06-20,20843,10834,0
2020-06-21,20260,11409,0
2020-06-22,20278,11575,0
2020-06-23,20909,10938,0
2020-06-24,21002,10911,0
2020-06-25,21000,10868,0
2020-06-26,21128,10661,0
2020-06-27,20932,10855,0
2020-06-28,20430,11332,0
2020-06-29,20371,11479,0
