date,used_beds_total,used_beds_corona
2020-03-20,598,200
2020-03-21,2871,308
2020-03-22,3300,364
2020-03-23,3832,451
2020-03-24,4942,616
2020-03-25,5596,789
2020-03-26,6090,824
2020-03-27,6426,905
2020-03-28,6895,1001
2020-03-29,6874,1063
2020-03-30,7225,1203
2020-03-31,8550,1551
2020-04-01,9470,1785
2020-04-02,10807,2103
2020-04-03,11899,2364
2020-04-04,12110,2474
2020-04-05,12143,2531
2020-04-06,12181,2554
2020-04-07,12103,2644
2020-04-08,12784,2661
2020-04-09,13365,2718
2020-04-10,13115,2704
2020-04-11,12703,2657
2020-04-12,12778,2657
2020-04-13,13066,2722
2020-04-14,13355,2725
2020-04-15,14322,2739
2020-04-16,15907,2817
2020-04-17,17119,2883
2020-04-18,17594,2933
2020-04-19,17211,2875
2020-04-20,17525,2905
2020-04-21,18464,2860
2020-04-22,18860,2744
2020-04-23,19057,2728
2020-04-24,19262,2650
2020-04-25,19125,2543
2020-04-26,18642,2529
2020-04-27,18828,2471
2020-04-28,19370,2394
2020-04-29,19638,2313
2020-04-30,19595,2241
2020-05-01,19667,2124
2020-05-02,19032,2052
2020-05-03,19155,2018
2020-05-04,19078,1980
2020-05-05,19695,1906
2020-05-06,20093,1825
2020-05-07,20064,1769
2020-05-08,20035,1662
2020-05-09,19814,1596
2020-05-10,19256,1605
2020-05-11,19416,1590
2020-05-12,20301,1499
2020-05-13,20235,1386
2020-05-14,20145,1318
2020-05-15,20482,1235
2020-05-16,20122,1176
2020-05-17,19589,1128
2020-05-18,19558,1126
2020-05-19,20154,1088
2020-05-20,20412,1021
2020-05-21,20408,1000
2020-05-22,19851,975
2020-05-23,20042,931
2020-05-24,19553,900
2020-05-25,19639,885
2020-05-26,20190,816
2020-05-27,20480,751
2020-05-28,20563,726
2020-05-29,20492,725
2020-05-30,20379,716
2020-05-31,19715,699
2020-06-01,19643,698
2020-06-02,19720,694
2020-06-03,20442,635
2020-06-04,20757,600
2020-06-05,20822,588
2020-06-06,20562,562
2020-06-07,19972,567
2020-06-08,19834,546
2020-06-09,20683,522
2020-06-10,20848,488
2020-06-11,20778,453
2020-06-12,20285,453
2020-06-13,20229,442
2020-06-14,19832,438
2020-06-15,19899,434
2020-06-16,20614,422
2020-06-17,20928,409
2020-06-18,21063,398
2020-06-19,21152,377
2020-06-20,20843,362
2020-06-21,20260,353
2020-06-22,20278,368
2020-06-23,20909,362
2020-06-24,21002,356
2020-06-25,21000,361
2020-06-26,21128,363
2020-06-27,20932,345
2020-06-28,20430,338
2020-06-29,20371,332
